

, Lambda = 10000.0, Ratio = 0.05, Itermax = 10
RamanShift (cm-1)	00:00:27	00:01:30	00:02:00	00:02:30	00:03:00	00:03:30	00:04:00	00:04:30	00:05:00	00:05:30	00:06:00	00:06:30	00:07:00	00:07:30	00:08:00	00:08:30	00:09:00	00:09:30	00:10:00	00:10:30	00:11:00	00:11:30	00:12:00	00:12:30	00:13:00	00:13:30	00:14:00	00:14:30	00:15:00	00:15:30	00:16:00	00:16:30	00:17:00	00:17:30
3.4000000e+03	1.1907598e+03	2.8951829e+03	9.5003477e+02	-1.1088582e+03	2.3141286e+03	9.0937975e+02	1.4632578e+01	1.5685304e+03	8.6740070e+02	8.5875965e+02	9.6346802e+02	1.7552389e+03	1.9530762e+03	8.9505137e+02	4.1624695e+02	2.1504035e+02	2.5141113e+03	5.5372251e+02	1.4744266e+03	5.1736888e+02	1.3114870e+03	5.6073693e+02	9.1319305e+02	2.6259779e+02	1.3441895e+03	5.4196107e+02	3.7760435e+02	1.4164344e+03	9.6651843e+02	7.1994429e+02	5.9843744e+02	4.1342162e+02	8.8078332e+02	2.7902119e+03
3.3990000e+03	1.0909558e+03	2.0120788e+03	3.2903270e+02	-1.0334434e+03	5.8754692e+02	9.1271024e+02	-1.5963307e+02	1.5098622e+03	4.1201196e+02	8.2522647e+02	3.7869777e+02	1.1220424e+03	1.1378127e+03	5.2960168e+02	6.9208111e+01	-6.4153692e+01	2.0821704e+03	1.0839869e+02	1.3694332e+03	3.3283130e+01	7.1630931e+02	8.0341375e+02	2.7168243e+02	2.2760290e+02	4.5400811e+02	-1.5660376e+02	4.9261605e+01	1.7238941e+03	5.6082329e+02	3.9432431e+02	6.0796349e+01	2.3909793e+01	7.6605701e+02	2.8861395e+03
3.3980000e+03	1.2488623e+03	1.4416910e+03	1.0808779e+01	-7.0998046e+01	-1.2709893e+02	9.7396436e+02	6.0646920e+02	1.3567718e+03	9.4585682e+02	1.3197742e+03	7.4006268e+01	8.1911132e+02	7.7762034e+02	7.5737283e+02	1.3718971e+02	3.8719231e+02	1.9299810e+03	1.8702613e+01	1.3906731e+03	-7.4025579e+01	9.6789068e+02	9.2354520e+02	7.8720457e+02	2.6150089e+02	7.3629005e+02	8.0323861e+01	3.3571057e+02	1.8930429e+03	5.7950685e+02	-4.6916566e+01	-1.1663563e+02	1.5474909e+02	8.0977300e+02	2.3818429e+03
3.3970000e+03	1.3210320e+03	1.4214663e+03	-1.3499631e+02	5.9765648e+02	5.2565499e+02	1.2220206e+03	1.8476494e+03	1.3017375e+03	1.7546874e+03	1.7961324e+03	2.0882288e+02	7.5797898e+02	1.0623703e+03	1.1383446e+03	3.9622123e+02	9.6303222e+02	1.6885213e+03	2.9117679e+02	1.2348295e+03	5.1288554e+02	1.5099413e+03	1.2324156e+03	1.5380785e+03	1.2700734e+02	1.7251771e+03	9.6947554e+02	8.3300836e+02	2.1123314e+03	6.1217826e+02	-7.9105398e+01	3.6146144e+02	9.3190434e+02	9.3815147e+02	1.5734185e+03
3.3960000e+03	1.3724153e+03	1.3818295e+03	6.1304723e+01	6.0519775e+02	1.4143121e+03	1.7647814e+03	2.5410428e+03	1.4585405e+03	1.9156354e+03	1.5667910e+03	2.9020999e+02	6.3257740e+02	1.2621869e+03	1.2850161e+03	5.4473655e+02	1.3535382e+03	1.9642194e+03	8.3367107e+02	7.9686859e+02	1.3732347e+03	1.6694840e+03	1.6599517e+03	1.5574429e+03	3.3467987e+02	2.0996395e+03	1.4216502e+03	7.7061460e+02	2.3285901e+03	3.8293336e+02	5.9576197e+02	1.0753455e+03	2.0831088e+03	1.1979159e+03	1.1182808e+03
3.3950000e+03	1.1712547e+03	1.1685804e+03	5.5840458e+02	3.0677836e+02	1.7562081e+03	1.9417218e+03	2.3258434e+03	1.4784650e+03	1.3759729e+03	8.8381975e+02	1.1871027e+02	3.9672410e+02	1.4472765e+03	1.2105661e+03	8.3451112e+02	1.4910932e+03	2.5903373e+03	1.3005553e+03	3.0115530e+02	1.4507603e+03	1.4119296e+03	1.2587386e+03	1.1334722e+03	7.6997637e+02	1.5415778e+03	1.3051769e+03	3.9893673e+02	1.9474938e+03	1.1936002e+02	1.4037979e+03	1.1633695e+03	2.3996356e+03	1.1608348e+03	1.1655093e+03
3.3940000e+03	4.9055906e+02	8.5992866e+02	9.2521967e+02	-1.1373202e+00	1.5205440e+03	1.2361184e+03	1.7439437e+03	1.5632628e+03	6.2323043e+02	3.8349116e+02	8.1581307e+01	9.1048663e+01	2.0425083e+03	1.1134326e+03	9.9916673e+02	1.2780617e+03	2.6605883e+03	1.3953841e+03	-7.8874305e+01	8.8539216e+02	9.0842368e+02	1.7707392e+02	7.9349780e+02	1.0233633e+03	8.1577352e+02	1.1897599e+03	3.5679504e+02	1.5018803e+03	2.6560420e+01	1.5276893e+03	5.5178780e+02	1.6730651e+03	5.8115528e+02	1.2813200e+03
3.3930000e+03	4.7417865e+01	5.5280243e+02	1.0260851e+03	1.0813427e+02	1.0477022e+03	4.7028189e+02	1.1795816e+03	1.8978103e+03	-6.9008987e+00	2.3682954e+02	3.0813046e+02	1.8615875e+02	2.4368018e+03	1.2154922e+03	7.3931730e+02	1.1381391e+03	2.4265059e+03	1.0950203e+03	-1.1412802e+02	5.6343594e+02	4.6674257e+02	-2.1552700e+01	5.6169095e+02	1.0616803e+03	6.1354282e+02	1.1516325e+03	4.2167892e+02	1.8008049e+03	3.8228029e+00	1.2193550e+03	2.7722962e+02	1.0000008e+03	-1.3655604e+01	1.3702526e+03
3.3920000e+03	4.5274524e+02	6.7878539e+02	9.3736950e+02	4.5513959e+02	8.2934448e+02	4.1039406e+02	8.3881337e+02	2.0349303e+03	-2.2735300e+02	5.2263106e+02	5.5698492e+02	8.6282790e+02	1.9701480e+03	1.3896720e+03	4.5288243e+02	1.4456274e+03	2.3809126e+03	5.8780114e+02	2.0196474e+02	8.4722940e+02	5.8173555e+02	7.5923737e+02	4.9819535e+02	8.7218634e+02	1.0167321e+03	1.1047335e+03	3.0597378e+02	2.2037373e+03	-1.4551567e+01	1.0284053e+03	6.8661451e+02	9.0570234e+02	-2.5281068e+01	1.5914256e+03
3.3910000e+03	1.4128768e+03	1.4748513e+03	1.0624973e+03	5.7275242e+02	1.2495385e+03	8.6508370e+02	1.1661764e+03	2.1770380e+03	3.0185992e+02	1.3541118e+03	1.0628881e+03	1.6106879e+03	1.3162455e+03	1.5124108e+03	4.8963310e+02	1.8532449e+03	2.3738870e+03	3.9487106e+02	6.7258588e+02	1.6235472e+03	1.3803722e+03	1.4368201e+03	8.7045892e+02	8.6583803e+02	1.6809198e+03	1.3589432e+03	5.5558949e+02	2.2052933e+03	4.6791761e+02	1.0390266e+03	1.0459148e+03	1.4253201e+03	8.4884643e+02	1.9127473e+03
