RamanShift (cm-1)	00:00:27	00:01:30	00:02:00	00:02:30	00:03:00	00:03:30	00:04:00	00:04:30	00:05:00	00:05:30	00:06:00	00:06:30	00:07:00	00:07:30	00:08:00	00:08:30	00:09:00	00:09:30	00:10:00	00:10:30	00:11:00	00:11:30	00:12:00	00:12:30	00:13:00	00:13:30	00:14:00	00:14:30	00:15:00	00:15:30	00:16:00	00:16:30	00:17:00	00:17:30
3400.0000	3622.37918602	5294.52406611	3867.40889509	2864.85565800	4243.28501402	3181.27506488	2337.25019316	3498.09000901	3679.77772696	3602.19508871	4108.81160986	4434.59740292	4144.05561930	3166.45338959	3352.96853079	2571.59577577	4045.57447507	3242.73243883	3954.66988509	3194.55322504	3360.69117817	3271.69644313	3490.21185114	3178.98396065	3396.62065570	2669.95225488	3391.10879048	3194.02852527	3297.93828423	3099.12765932	3438.42194307	2940.75101152	3920.91295752	4781.07375426
3399.0000	3552.24610431	4437.89770791	3262.92280002	2960.11224677	2551.99421451	3212.16727363	2201.74801000	3467.23626050	3253.94995639	3595.37254406	3533.04771339	3814.32287286	3356.10535831	2833.77001521	3021.63919316	2321.58524285	3639.72864019	2819.70141833	3882.00947164	2734.09351463	2790.99138412	3530.95769758	2867.13049643	3151.34265653	2530.79843456	2004.71204305	3067.53058177	3531.74291417	2912.33239065	2802.92278839	2916.11882407	2569.61966534	3823.82974909	4908.57359089
3398.0000	3739.82360732	3893.98755955	2961.21484654	3942.28847816	1872.63926288	3300.98311780	3006.61520033	3341.96043119	3817.35577692	4116.63089952	3237.36256205	3524.31379306	3023.22620241	3094.30747058	3105.33029471	2802.11712081	3513.63439863	2752.29813859	3935.58238580	2650.41084788	3068.05064051	3667.67358657	3401.08190409	3192.59424339	2837.43956841	2274.96427374	3358.74408610	3731.14649449	2951.10518818	2391.09701702	2754.02482020	2718.83943512	3885.18884545	4435.84932637
3397.0000	3841.66421357	3900.24059373	2831.92572286	4630.34880567	2560.68408692	3576.60109841	4286.54724047	3314.74073156	4655.74730481	4619.69977526	3381.18551937	3476.10345932	3335.28944415	3508.04557525	3380.07720322	3407.14120951	3298.26972778	3047.07005215	3812.07172493	3260.95126760	3635.57917970	3993.12841876	4170.38512422	3065.45433119	3850.68583643	3197.42490510	3860.81130480	3980.68972506	3003.86584550	2388.32329031	3247.46545667	3514.37755520	4031.21041558	3658.99713943
3396.0000	3922.71853304	3887.08152839	3044.74380331	4656.74942615	3484.61936092	4146.92360838	5018.66496795	3499.35825367	4846.25626221	4417.06898458	3471.58593574	3363.62388184	3562.41927612	3687.48337696	3544.32064374	3826.82560904	3600.06301337	3611.87381821	3406.44386098	4144.92881415	3820.59970415	4437.24896109	4208.17877136	3280.48059837	4249.50742309	3682.88385266	3803.19678420	4227.20328065	2794.71018260	3092.60107098	3976.69259405	4683.97013573	4308.61792264	3235.43165612
3395.0000	3751.22885456	3700.31016579	3558.34935867	4376.48137319	3861.76816555	4351.42577020	4842.14787464	3547.09729344	4336.15470144	3760.80833386	3309.11361778	3140.69259692	3774.82208373	3645.79967931	3849.84289249	3993.54928602	4252.27596884	4101.08605748	2943.06356674	4246.07790621	3588.52318560	4052.62031994	3802.63731426	3723.13961057	3715.80493890	3599.66113295	3436.31285826	3876.36164728	2551.22608619	3930.03016992	4080.05329096	5018.89325910	4289.17990871	3314.23242756
3394.0000	3100.20416787	3418.13609237	3941.65184132	4085.90798079	3661.31872284	3673.38404296	4298.87389326	3659.70960770	3612.97324173	3287.19037702	3281.03333249	2847.93916436	4397.36709196	3581.43247967	4030.27259441	3809.67266254	4348.62206730	4218.26830511	2595.36696943	3704.32399235	3110.49517823	2987.54005585	3481.09223709	3983.90648521	3014.35985448	3517.45212683	3398.98471267	3461.00293505	2478.51573230	4083.28475357	3483.79557024	4310.73011217	3727.14354478	3461.61536512
3393.0000	2686.73392440	3137.48757613	4058.97940759	4211.64243578	3223.64068006	2935.10925178	3773.06638663	4022.07163492	3012.40288035	3167.23939109	3516.66704834	2955.97125671	4818.97385069	3716.25835685	3786.23049558	3698.88697917	4140.63481713	3940.28997094	2592.44625403	3405.96874382	2694.29194345	2805.49787839	3267.71467165	4029.62958093	2836.48835674	3512.48103241	3468.70664259	3790.18230164	2475.86808997	3804.27117475	3224.54278335	3656.08712465	3149.97576147	3582.12027816
3392.0000	3121.73225285	3289.94823670	3986.69369679	4574.16071471	3040.38324949	2902.78314336	3470.76719785	4187.00619855	2821.51173990	3479.75153274	3774.66417202	3645.56663674	4379.63330311	3923.20446988	3515.64304659	4035.49030827	4121.13655851	3455.49531662	2940.86413462	3713.34573115	2834.76280809	3602.87636820	3222.64837479	3847.57650352	3264.03681070	3498.67766784	3357.86895999	4223.36947390	2477.58777494	3642.58706670	3649.20837404	3580.22675722	3155.99340201	3834.86550717
3391.0000	4111.53930184	4112.49184497	4128.21220191	4706.27694177	3495.60130745	3385.03450797	3836.49921718	4356.92846231	3380.28493756	4337.94290507	4289.79038172	4406.36140026	3753.04404939	4078.70955266	3568.28806918	4472.19681105	4140.20612667	3285.03547635	3443.78320405	4513.22546402	3658.87737073	4297.05330732	3613.34126791	3848.71256138	3952.58371601	3785.91342810	3612.38643191	4255.18022691	2980.15881190	3682.40635113	4023.75860720	4118.30232480	4047.76263912	4187.75944504
3390.0000	4915.38783752	4964.43379016	4784.66535094	4886.28586594	4256.67106170	4188.65964705	4648.16671268	4932.49163302	4222.82601507	5234.33208397	5050.61649051	5009.79562184	3879.08818132	4287.02317086	3679.00033714	4711.53693909	4278.44856077	3771.47867956	4189.39011521	5179.49361711	4507.47364520	4689.18197567	4230.81355136	4326.11823241	4382.25548231	4196.79612587	4430.79884660	4140.06808924	4197.29306399	4043.13331521	4062.77929271	4827.16441373	5343.86050657	4481.20985311
3389.0000	5003.97554772	5013.70494585	5197.52355172	5034.47472372	4524.36898039	4754.15326033	4786.65102091	5201.02739125	4270.31578899	5266.74517546	5249.56960421	5249.32331758	4250.96436638	4401.43071879	3470.40617875	4647.76395016	4435.93089871	4332.81320706	4825.94882009	5112.87700113	4598.69176280	4559.56124496	4394.82166651	4591.94940187	4158.43943526	4013.70963641	4824.64486650	3521.65892845	5059.26552675	4450.35706841	4062.19943361	4686.97147824	5752.63076294	4373.05245553
3388.0000	4484.02127575	4406.34842800	4825.26284459	4479.69870532	4210.20122163	4416.33964984	4024.21498159	4708.57564770	3604.53973796	4431.90546799	4875.63923048	4735.85278914	3973.71885336	4269.05211078	3152.58590386	4235.13836755	4155.78259795	4404.91513734	4693.76447782	4562.47537908	4034.58806595	3671.67165892	4040.11112301	4233.48476538	3514.33337926	3509.24859953	4281.57784628	2510.88411244	4729.83030821	4351.78068756	4094.86164267	3876.62649803	4993.22677953	3837.74900795
